steuerperiode	kanton	null_norm	null_sond	cpop	cinc	G_steink	G_reink	G_taxed	ppop0	G_steink0	G_steink_halb	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p96	p97	p98	p99	p9950	p9990	p9999	mean	sum_pflichtige
2002	"AG"	45363	3396	249707	1.60e+07	.311171	.3013942	.3007924	.0134239	.4170691	.3909596	17.34988	22.64087	27.95913	35.45845	38.33525	41.32143	47.07478	53.22377	60.53297	69.3226	74.7928	81.83243	104.8806	132.7444	143.0673	158.3745	183.6672					64.13234	249707
2003	"AG"	46638	3597	253403	1.63e+07	.3104811	.3012554	.3002005	.0131449	.4176591	.3892223	17.36364	22.65828	27.98983	35.53699	38.417	41.38792	47.16922	53.42123	60.77982	69.73337	75.45496	82.45456	105.6112	133.2512	143.5643	158.6151	182.9874					64.28094	253403
2004	"AG"	47917	3592	256379	1.66e+07	.3133099	.3043629	.3028589	.0134869	.4214419	.3926959	17.36485	22.64483	27.97447	35.47438	38.35046	41.3441	47.18242	53.4943	60.97287	70.25734	75.94797	82.95382	106.3963	134.3973	144.8507	160.1543	184.7924					64.65071	256379
2005	"AG"	48737	3851	259281	1.70e+07	.3190343	.3099027	.3081345	.0137882	.426782	.3981655	17.38657	22.72123	28.06265	35.61497	38.53602	41.52304	47.4188	53.83741	61.30743	70.6925	76.52877	83.75837	107.5625	136.1672	146.8496	162.221	186.5876					65.56434	259281
2006	"AG"	52338	4159	260654	1.73e+07	.3168665	.3076055	.3065877	.0149269	.431099	.3995177	17.65477	23.19038	28.80292	36.06998	39.06089	41.96529	47.89037	54.33852	61.83747	71.39275	77.36814	84.74555	109.4688	139.2208	150.3909	166.5383	192.283					66.20585	260654
2007	"AG"	51522	4070	266276	1.80e+07	.3207827	.3113005	.3100821	.0162902	.4308986	.4009951	17.77789	23.5321	29.3392	36.57464	39.77314	42.6607	48.69394	55.39572	62.95963	72.80726	78.94487	86.59943	111.7429	142.3364	154.0347	170.9057	197.8678					67.73638	266276
2008	"AG"	52324	4150	270389	1.82e+07	.3182102	.3085157	.3074934	.0162838	.4287542	.3987222	17.83278	23.68703	29.67715	36.73611	40.06098	42.76786	48.66957	55.14715	62.43446	71.86423	77.87307	85.33315	110.749	141.9165	153.8361	170.7639	197.832					67.32987	270389
2009	"AG"	53664	4193	274444	1.86e+07	.3168198	.3079882	.3061933	.0162477	.428558	.3984824	17.3071	23.89033	30.00662	37.04014	40.37305	43.1664	49.13117	55.71169	63.11115	72.70284	78.86834	86.53185	112.0593	142.8617	154.5772	171.2454	197.834					67.84431	274444
2010	"AG"	54715	4306	278999	1.90e+07	.3181485	.3096755	.3074965	.0165801	.4299434	.3999297	17.19493	23.60523	29.72828	37.08825	40.45302	43.32892	49.40768	56.00262	63.61513	73.33604	79.5635	87.37004	113.1073	144.1538	155.9741	172.6784	199.3031					68.24174	278999
1918	"AI"			288	908.9	.1300446		.1280184	0	.1300446	.1300446	2.502791	2.514278	2.529418	2.562714	2.581143	2.600992	2.645892	2.7	2.902284	3.119387	3.241421	3.397296	4.401011	5.107977	5.344425	5.601859	5.894365		8.830863			3.155903	288
1923	"AI"			210	885.4	.1511111			0	.1511111	.1511111	2.012166	2.062872	2.131285	2.288277	2.379151	2.480292	2.722078	3.038653	3.476639	4.135725	4.616705	5.170297	6.673335	8.613314	9.350799	10.34689	11.79785	14.76499				4.216191	210
1941.5	"AI"			575	2734	.2245914			0	.2245914	.2245914	2.01403	2.072639	2.152064	2.335785	2.443022	2.563111	2.853188	3.238937	3.782731	4.620647	5.148083	5.658625	7.590521	10.16601	11.08257	12.3872	14.49088	18.94737	27.40675			4.754783	575
1945.5	"AI"			13465	63200	.3071003		.3027442	.0008912	.3071003	.3071003	7.115781	7.262394	7.45918	7.906528	8.077228	8.209612	8.513291	8.887	9.323506	9.899336	12.42326	17.84224	36.05958	60.60019	62.08379	64.05021	66.92794	72.9425	80.81496	98.80758		4.69365	13465
1947.5	"AI"			1753	7695	.3058974		.301122	0	.3058974	.3058974	2.023569	2.123232	2.261358	2.594164	2.796858	3.012276	3.234523	3.518645	3.900566	4.417174	4.773458	5.253509	7.225319	9.971027	10.99544	12.47897	14.91588	20.31192	30.28289	61.78557		4.389618	1753
1949	"AI"			1462	8096	.2461953		.2416989	0	.2461953	.2461953	3.032949	3.171995	3.363976	3.823387	4.032655	4.132263	4.363796	4.654445	5.036145	5.56781	5.933455	6.494473	8.289722	11.26939	12.34451	13.77125	16.15668	20.37267	29.48021	45.25569		5.53762	1462
1950	"AI"			730	5288	.248598		.2431251	0	.248598	.248598	4.044851	4.234234	4.496	5.038551	5.15328	5.278819	5.57047	5.936289	6.498157	7.232948	7.643549	8.295389	11.27591	14.80196	16.16508	18.02257	20.39271	29.49642	35.59263			7.243835	730
1951.5	"AI"			926	6532	.2301357		.2256635	0	.2301357	.2301357	4.040951	4.213436	4.450756	5.004475	5.102869	5.210194	5.458217	5.76685	6.21172	6.92507	7.441691	8.127684	10.65722	14.44442	15.81584	17.39728	19.32118	25.51073	31.31383			7.053996	926
1953.5	"AI"			1228	8677	.2366865		.2310858	0	.2366865	.2366865	4.038218	4.19891	4.419295	4.940268	5.078795	5.1856	5.432421	5.739555	6.181925	6.921684	7.407045	8.041436	10.31403	13.46781	14.47627	16.02594	18.89885	23.79311	31.81845			7.065961	1228
1955.5	"AI"			1253	9166	.2416404		.2361371	0	.2416404	.2416404	4.045581	4.238134	4.504509	5.043827	5.157745	5.282374	5.57182	5.934702	6.484416	7.260341	7.76563	8.507912	10.84427	13.71821	15.5587	18.06749	20.4283	27.18707	34.61742			7.315243	1253
1957.5	"AI"			1494	11046	.2700106		.2631485	0	.2700106	.2700106	4.043115	4.224962	4.475801	5.028373	5.161666	5.30807	5.650357	6.078429	6.615705	7.384401	7.92108	8.682357	11.26901	14.38319	15.70473	17.8494	22.04247	32.51948	47.50087	118.6066		7.393574	1494
1959.5	"AI"			788	8091	.2781327		.2716687	0	.2781327	.2781327	6.02056	6.105672	6.219074	6.47346	6.617236	6.774467	7.187701	7.811891	8.562214	9.555233	10.2293	11.14347	14.76474	18.78145	20.81629	27.83097	40.19049	51.08916				10.26777	788
