anz_pflichtige	steuerperiode	bemessungsjahre	kanton	null_norm	null_sond	cpop	cinc	G_steink	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p99	mean
1	1971.5	1969.5	"GL"			1805	33208.6	.3611541			9.544431	11.20252	11.88588	12.5627	13.78793	15.13381	16.40616	18.02266	19.04166	20.33605	26.094	34.8403	109.2642	18.39812
1	1959.5	1957.5	"GR"			913	12303	.6110044						6.303607	7.136738	8.138426	9.206588	10.7236	11.95783	13.53295	21.16853	31.57364		13.47536
0	1961.5	1959.5	"GR"			1223	11642	.5482522							6.42628	7.131891	7.867652	8.80859	9.548714	10.51757	14.5377	22.60559		9.519215
0	1963.5	1961.5	"GR"			1499	16789	.5748789							6.580731	7.698271	8.643687	10.11206	11.06906	12.6703	17.94275	29.62435	95.0229	11.20013
0	1965.5	1963.5	"GR"			2561	29724	.5471249							7.233956	8.89455	10.27998	11.95745	12.88219	14.14741	19.68853	30.12462	98.40612	11.6064
1	1967.5	1965.5	"GR"			4373	58880.5	.5044199						6.450494	8.69919	10.0781	11.55974	13.52363	14.74649	16.46766	23.06767	32.49937	90.41681	13.46455
1	1969.5	1967.5	"GR"			5691	77416.4	.5164744							8.519052	10.28606	12.19205	14.31889	15.68449	17.58797	24.37636	35.21063		13.6033
4	1971.5	1969.5	"GR"			6019	102964.7	.5679966							8.24007	11.48089	13.59336	16.11179	17.51483	19.50806	27.15586	41.09211	126.298	17.10661
0	1959.5	1957.5	"LU"			2472	25050	.5124121						6.307631	7.177969	8.104255	9.270596	10.65932	11.53743	12.88954	17.99388	24.7628	62.53317	10.1335
1	1961.5	1959.5	"LU"			2945	29692	.5099553					6.059132	6.368149	7.091737	7.864983	8.706132	9.938829	10.76169	11.84952	17.01538	25.06755	59.57411	10.08217
1	1963.5	1961.5	"LU"			3827	41989	.5423285						6.485164	7.563743	8.419714	9.464076	10.85209	11.99468	13.37172	19.25185	30.88051	73.24026	10.97178
