steuerperiode	kanton	null_norm	null_sond	cpop	cinc	G_reink	ppop0	G_reink0	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p96	p97	p98	p99	p9950	p9990	p9999	mean	sum_pflichtige
1999.5	"AR"	6076	623	19833	1281949	.3456801	.0142422	.4991267	16.3371	21.25431	25.44905	32.59784	35.86268	38.84381	45.10464	51.4911	59.24983	68.68499	74.11414	80.57054	101.5095	128.7078	140.7519	159.539	193.194					64.63716	19833
2001	"AR"	5028	178	23262	1629335	.3553459	.0180629	.4699207	17.61606	22.23908	26.6891	34.77499	38.08673	41.49535	48.12795	55.20787	63.24962	73.95712	79.88622	86.91608	110.357	141.7131	154.7541	174.9866						70.04277	23262
2002	"AR"	5409	342	22809	1546657	.3370429	.0158055	.4641226	17.56059	22.15454	26.57634	34.77445	38.03468	41.39336	47.9439	55.19926	63.1025	73.38557	79.44999	86.56142	109.1326	137.735	148.5847	167.2701	198.0304					67.80906	22809
2003	"AR"	5711	353	23436	1592665	.3428154	.0161938	.4715827	17.38447	21.8964	26.32133	34.48059	37.82605	41.19304	47.61494	54.67801	62.75237	73.07526	79.07326	86.11134	108.8644	137.6891	148.5085	168.018						67.95807	23436
2004	"AR"	5632	442	22416	1500976	.3266938	.0135839	.4618928	17.71678	22.41888	26.89674	35.1318	38.38419	41.6739	48.05056	55.14035	63.30568	73.42056	79.48188	86.55919	108.4756	135.6151	145.8334	161.7879	188.1503					66.96001	22416
2005	"AR"	5497	368	22395	1487593	.3237956	.0130862	.457063	17.7305	22.44827	26.92662	35.13864	38.18878	41.43797	47.92466	54.79478	62.86555	72.88223	78.81503	86.12843	108.4431	135.4541	145.4473	160.7241	185.7953					66.42521	22395
2006	"AR"	6061	428	22239	1512877	.3253292	.0134276	.4698232	18.89752	23.08675	27.49627	35.94795	39.21949	42.41698	48.73417	55.75379	63.99331	74.3078	80.81322	88.02583	111.0952	139.1236	149.4885	164.9829	189.4511					68.02809	22239
2007	"AR"	5835	419	22603	1563206	.3268127	.0142767	.4649394	19.15067	23.32467	27.84368	36.19979	39.73935	42.87362	49.47567	56.58653	65.13651	75.89565	82.27637	89.37537	113.2852	141.521	152.0629	167.7675	192.694					69.1592	22603
2008	"AR"	6017	404	22808	1625526	.335074	.0164441	.4738723	18.83975	23.329	27.93855	36.64172	40.45748	43.69951	50.55133	57.84532	66.59184	77.55772	84.1824	91.42201	115.6038	146.0699	158.0748	175.2487						71.27	22808
2009	"AR"	6175	398	22828	1632222	.3357387	.0177568	.4771659	18.54051	23.39392	27.91911	36.44765	40.27873	43.66212	50.50654	57.87208	66.77188	77.90254	85.02242	92.50168	117.7239	150.1698	162.7103	180.4354						71.50088	22828
2010	"AR"	6141	398	22897	1653369	.3417454	.0170466	.4809541	18.63256	23.32492	27.7607	36.2931	40.22104	43.59485	50.54406	58.01867	67.05662	78.27797	85.30114	93.10754	118.7526	151.2594	162.9102	179.2647						72.20897	22897
1987.5	"BE"			362896	1.61e+07	.3280108	.0070681	.3280108	10.77631	14.6459	17.35038	22.40995	25.01737	27.07578	31.74007	36.66122	42.26664	49.03635	53.08484	57.9747	73.32529	91.82655	98.86507	109.5245	127.5626	171.1758				44.39347	362896
1989.5	"BE"			358037	1.71e+07	.3264885	.008555	.3264885	11.36779	16.03167	19.18458	24.68313	26.99091	29.47266	34.20833	39.45265	45.47556	52.59266	56.9442	62.06735	78.22375	98.019	105.9705	117.2951	137.9133	186.4531				47.82128	358037
1991.5	"BE"			376515	1.97e+07	.3268768	.0101696	.3268768	12.86858	17.19474	20.84437	26.9186	29.72048	32.2174	37.47088	43.20399	50.00765	57.97187	62.7732	68.40542	86.00732	107.2637	115.4241	127.9389	148.8079					52.37807	376515
