anz_pflichtige	steuerperiode	kanton	null_norm	null_sond	cpop	cinc	G_steink	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p99	mean
4	1979.5	"AR"			20703	605090.4	.3403171	10.00315	11.3489	12.74522	15.39851	16.56999	17.77199	20.23239	22.77132	25.7605	29.62522	32.18034	35.48609	46.92133	61.34386	135.9619	29.22718
5	1981.5	"AR"			21938	687972.3	.3446963	9.628968	11.51068	13.25116	16.19501	17.64702	19.15962	21.86026	24.59403	27.62152	31.84563	34.63914	38.28261	50.73299	66.64477	139.3711	31.35985
7	1983.5	"AR"			22586	757568.5	.3530747	10.10546	11.85927	13.63862	17.02467	18.48543	20.07931	23.19717	26.09972	29.60296	34.07552	37.00678	40.77555	54.06504	71.4507	155.0502	33.54151
8	1985.5	"AR"			23909	852608.5	.357655	11.04314	12.59538	14.4682	17.75594	19.46148	21.11672	24.28707	27.41565	31.34272	36.26554	39.46332	43.52123	57.94369	76.47187	168.2709	35.66057
212	1987.5	"AR"			26279	971705.2	.3588579		11.81172	14.77995	18.26243	20.2809	21.72451	25.28456	28.49448	32.44193	37.44561	40.72529	44.68337	59.05791	77.50742	178.3446	36.97649
248	1989.5	"AR"			27100	1117222	.3545721		13.31754	16.93962	21.47831	23.08411	25.02254	28.06253	31.78855	36.24295	41.98538	45.72415	50.2999	65.69099	90.01704	191.565	41.22591
295	1991.5	"AR"			27455	1248630	.3564519		14.52207	18.36757	23.49798	25.75579	27.60688	31.56772	35.70214	40.55904	46.74447	50.8175	55.8563	72.81089	95.99366		45.47916
361	1993.5	"AR"			26448	1363338	.3579429		16.23814	20.48748	26.2985	28.64236	31.11142	35.96467	40.84711	46.7074	53.95119	58.39246	63.94755	82.65835	107.9984		51.54786
9	1961.5	"BE"			170615	2118791	.3545985		6.094119	6.346251	6.932211	7.227946	7.544616	8.276637	9.169035	10.31214	11.89838	12.94943	14.2889	19.35406	27.05958	64.31076	12.41855
9	1963.5	"BE"			183669	2580296	.3615989		6.381025	7.117939	7.738329	8.086938	8.435596	9.250648	10.25027	11.53935	13.32715	14.5109	16.07703	21.86556	30.99234	75.14516	14.04862
16	1965.5	"BE"			187050	3026810	.3680688		7.398634	8.164579	8.88476	9.261674	9.663282	10.5678	11.67866	13.12538	15.1244	16.4482	18.19734	25.12141	36.06743	89.3314	16.18182
17	1967.5	"BE"			237499	4136445	.3526724		8.059824	8.467152	9.412416	9.853738	10.37442	11.42257	12.64838	14.25131	16.3652	17.76717	19.67462	26.88227	37.56473	92.76395	17.41668
18	1969.5	"BE"			271774	5052995	.3546159		8.11799	8.718311	10.04947	10.56683	11.20993	12.43403	13.81878	15.57891	18.004	19.51416	21.52025	28.96244	39.78601	97.70029	18.59263
32	1971.5	"BE"			271801	6015691	.3452368		10.14364	10.79193	12.20989	12.80988	13.51158	15.03075	16.5967	18.60168	21.35297	23.1484	25.48415	34.1125	46.86883	113.3891	22.1327
42	1973.5	"BE"			303854	7517445	.3467209	9.243162	10.52936	11.49456	13.29013	14.14402	14.88614	16.56131	18.44138	20.69533	23.74058	25.83941	28.41696	38.47648	52.98873	127.8632	24.74032
36	1975.5	"BE"			346769	9892904	.3396424	9.802985	11.20181	12.50778	15.15651	16.34013	17.5004	19.74071	22.21651	25.15225	28.77258	31.26611	34.28428	45.60096	60.74702	135.2775	28.5288
20	1977.5	"BE"			341191	1.04e+07	.3356495	9.583443	11.28165	12.70641	15.71601	17.26436	18.69337	21.50716	24.38165	27.6387	31.94852	34.63531	37.99283	49.81507	64.85667	133.4951	30.40694
24	1979.5	"BE"			356252	1.11e+07	.3385161	9.245469	11.28436	12.78114	16.01955	17.5364	19.13245	22.11439	25.13074	28.52516	33.02267	35.93444	39.3709	51.46279	66.8315	135.398	31.2162
28	1981.5	"BE"			370223	1.22e+07	.3525969		11.03586	12.72899	16.36187	18.17423	19.87487	23.26627	26.50517	30.49192	35.45909	38.43882	42.27196	55.21745	71.44345	144.0255	32.92442
44	1983.5	"BE"			386459	1.35e+07	.3557245		11.53385	13.41319	17.24321	19.14518	21.01479	24.50734	27.90122	32.04592	37.24998	40.64582	44.69283	58.76452	76.39818	152.9658	34.86797
54	1985.5	"BE"			397502	1.49e+07	.3465752	11.17474	12.74863	14.66085	18.52762	20.45692	22.40268	26.05848	30.09913	34.33209	40.08571	43.53965	47.99411	63.20992	81.70697	160.1939	37.56342
2698	1987.5	"BE"			424456	1.62e+07	.3408037	10.19457	12.07492	15.08395	19.00392	21.05612	22.9584	26.88141	30.92374	35.3383	40.8886	44.35186	48.69024	63.42712	81.67155	160.8877	38.27752
3311	1989.5	"BE"			422969	1.81e+07	.3407803		13.15456	16.88562	22.03131	24.24912	26.29938	30.51858	34.65739	39.57734	45.86552	49.692	54.44545	70.31402	90.05614	178.2228	42.75434
4030	1991.5	"BE"			436823	2.03e+07	.3396081		15.06133	18.3396	24.09558	26.49331	28.81098	33.24429	37.87992	43.27774	50.16869	54.32452	59.48144	76.66879	97.7595	192.4867	46.54409
4693	1993.5	"BE"			441020	2.29e+07	.3375496		16.51293	20.59519	27.0432	30.00378	32.2955	37.3489	42.59716	48.58441	56.34894	61.18997	67.09591	88.96095	109.3781		51.9315
6	1961.5	"BL"			34794	487897	.3987333		6.178775	6.46662	7.112598	7.428857	7.78251	8.540704	9.437949	10.57337	12.17949	13.26779	14.65806	20.68557	31.41433	89.82682	14.02245
5	1963.5	"BL"			37793	612435	.4141572		6.646101	7.250007	8.026466	8.393197	8.803788	9.687384	10.75833	12.10265	13.99584	15.24898	16.99491	24.57646	37.91004	109.0936	16.20498
10	1965.5	"BL"			41572	789474	.4224229		7.564811	8.325251	9.278504	9.753485	10.24245	11.30559	12.59552	14.20886	16.44781	17.9638	20.09886	29.31789	45.23116	129.2772	18.99052
10	1967.5	"BL"			50534	1061681	.3948962	7.443593	8.350536	9.067972	10.27722	10.83169	11.46892	12.71439	14.25758	16.06051	18.49096	20.25271	22.47359	31.95526	48.0718	132.8511	21.00924
11	1969.5	"BL"			58164	1336320	.3845936	7.661588	8.672319	9.618279	11.3526	12.18029	12.8943	14.4643	16.19855	18.24781	21.10023	23.03539	25.52129	35.07934	51.72126	135.0825	22.97504
21	1971.5	"BL"			62041	1692995	.3788742	9.492503	10.68552	11.73684	13.62336	14.53909	15.43858	17.28321	19.3346	21.78616	25.21474	27.38598	30.39479	41.81072	60.42422	156.5989	27.28832
