Veranlagungsperiode;Einheit;stpf;snpstbetr;mean_stbetr;median_stbetr;gini_stbetr;mean_steink;median_steink;gini_steink;mean_steinka;median_steinka;gini_steinka;mean_reink;median_reink;gini_reink;mean_reinka;median_reinka;gini_reinka;p1;p5;p10;p20;p25;p30;p40;p50;p60;p70;p75;p80;p90;p95;p96;p97;p98;p99;p99_5;p99_9;p99_99;stpf_100;stpf_200;stpf_300;stpf_400;stpf_500;stpf_600;stpf_700;stpf_800;stpf_900;stpf_1000;stpf_1100;stpf_1200;stpf_1300;stpf_1400;stpf_1500;stpf_1600;stpf_1700;stpf_1800;stpf_1900;stpf_2000;stpf_u2000
1996;Total;116946;183.373;1568;300;0.827;53407;43300;0.453;34251;27476;0.454;58446;47500;0.438;37177;30400;0.432;0;0;6100;18500;22600;27600;35800;43300;51100;60000;65500;72200;95200;124300;136600;153700;183800;254400;353600;879400;4093200;14631;10661;12897;15121;15138;13405;9901;6876;4754;3278;2258;1578;1190;861;688;517;408;314;293;219;1958
1997_1998;Verheiratet;1698847;3797.816;2236;594;0.777;66635;55500;0.402;41760;33333;0.426;76912;66900;0.364;47418;39333;0.379;0;0;11900;32200;36800;40900;48400;55500;63400;72900;78900;86400;112900;148400;162700;183800;219700;303100;418200;932600;3197400;;;;;;;;;;;;;;;;;;;;;
1997_1998;Unverheiratet;2525906;1640.437;649;134;0.815;32753;29200;0.476;22966;20000;0.484;34611;31200;0.459;24190;21467;0.465;0;0;0;3500;10500;16200;23000;29200;35100;41400;45000;49200;62300;77500;83300;91500;105000;136600;184900;406000;1580900;;;;;;;;;;;;;;;;;;;;;
1997_1998;Total;4224753;5438.253;1287;246;0.82;46377;38500;0.473;30523;24800;0.478;51621;43000;0.459;33530;28000;0.455;0;0;0;12700;19100;23600;31500;38500;45700;54200;59400;65800;87000;112900;122900;137700;162800;220800;306400;667600;2426800;782689;308690;506894;602406;557222;429952;304660;206025;139320;94611;65788;46146;33724;24795;18816;14778;11742;9442;7842;6521;52690
1998;Verheiratet;37666;120.217;3192;741;0.791;83340;64500;0.392;51471;39278;0.41;94256;75400;0.353;57516;45000;0.365;0;16400;29300;41400;46100;49900;57100;64500;73300;84300;91900;101600;137200;181100;198200;225500;270800;379300;555200;1577700;;;;;;;;;;;;;;;;;;;;;;
1998;Unverheiratet;76870;71.376;929;169;0.826;40179;34200;0.452;26613;22533;0.452;42367;36500;0.432;28019;24106;0.43;0;0;1500;12900;16800;20400;27300;34200;40600;47800;52000;57000;73300;93800;101000;111100;128000;166900;228100;619200;;;;;;;;;;;;;;;;;;;;;;
1998;Total;114536;191.594;1673;296;0.833;54373;43200;0.462;34787;27467;0.461;59431;47500;0.446;37719;30333;0.44;0;0;5800;18300;22600;27500;35700;43200;51000;60100;65800;73100;98400;130200;142500;159200;188400;257800;369100;933700;5518200;14597;10272;12566;14975;14767;12783;9428;6449;4490;3184;2338;1679;1250;960;790;616;462;368;319;270;1973
1999_2000;Verheiratet;1300372;2791.478;2147;561;0.782;65774;54500;0.396;41887;33067;0.421;76089;65600;0.356;47631;39000;0.373;0;1000;16500;32300;36500;40300;47500;54500;62000;71100;76800;84000;108900;142000;155200;175000;208400;285000;395100;900900;3701300;;;;;;;;;;;;;;;;;;;;;
1999_2000;Unverheiratet;1994931;1251.467;627;120;0.831;31292;27600;0.491;22353;19100;0.503;33112;29600;0.474;23562;20538;0.484;0;0;0;2200;7400;13900;21600;27600;33500;39700;43200;47200;59800;74100;79400;87000;99600;129300;176400;402600;1691700;;;;;;;;;;;;;;;;;;;;;
1999_2000;Total;3295303;4042.945;1227;216;0.829;44899;37000;0.48;30062;24143;0.487;50071;41400;0.465;33060;27333;0.463;0;0;0;10900;17900;22400;30200;37000;44100;52300;57400;63600;83800;107900;117400;131100;154400;208800;288200;637900;2656300;640965;251894;412119;482749;430804;325472;226568;151585;101750;67889;46733;32099;23527;17197;12824;10419;8058;6494;5250;4421;36486
1999;Verheiratet;374375;1171.816;3130;639;0.817;79184;60900;0.435;48658;36267;0.453;89758;72500;0.396;54313;42095;0.409;0;1100;18300;34900;40000;44500;52900;60900;69900;80800;88000;97300;131700;180800;200400;229200;280300;403600;591000;1504800;6958400;;;;;;;;;;;;;;;;;;;;;
1999;Unverheiratet;592535;552.495;932;169;0.829;39948;34200;0.458;26760;22600;0.462;42126;36400;0.438;28118;24067;0.441;0;0;700;11800;16500;20200;27300;34200;40500;47500;51500;56400;72400;92400;100100;111400;130400;174700;243500;582700;2339500;;;;;;;;;;;;;;;;;;;;;
1999;Total;966910;1724.311;1783;288;0.844;55140;43000;0.477;35238;27111;0.479;60568;47700;0.46;38260;30200;0.456;0;0;3800;17700;22500;27400;35600;43000;50800;60100;66100;73400;99000;132500;146200;166500;200600;281000;406600;1015500;4237000;135863;77560;103358;125547;126207;105062;78303;55016;38800;26623;19479;13870;10520;7978;6108;4969;3894;3285;2694;2234;19540
2000;Verheiratet;350709;1248.556;3560;744;0.809;85766;64700;0.421;52132;38267;0.44;97364;77000;0.378;58344;44429;0.393;0;12300;27000;39400;44100;48500;56600;64700;73800;85300;92900;102800;140200;194300;216600;250100;307800;447200;663600;1729800;6794200;;;;;;;;;;;;;;;;;;;;;
2000;Unverheiratet;605761;618.862;1022;177;0.831;41323;35000;0.462;27703;23200;0.465;43504;37300;0.443;29069;24667;0.444;0;0;1300;12000;16600;20500;27900;35000;41600;48900;53000;58200;75000;96600;104700;116900;138100;187000;260600;634800;2417200;;;;;;;;;;;;;;;;;;;;;
2000;Total;956470;1867.419;1952;322;0.842;57619;44600;0.476;36660;28000;0.477;63253;49500;0.459;39803;31200;0.453;0;0;5100;18900;23700;28700;36900;44600;52600;62200;68300;76000;102800;138900;153500;175600;212800;301800;439000;1090900;4606500;125673;74731;98904;120068;123525;105403;79924;57193;40200;28373;20799;14934;11341;8440;6585;5291;4319;3513;2984;2518;21752
