Veranlagungsperiode;Einheit;stpf;snpstbetr;mean_stbetr;median_stbetr;gini_stbetr;mean_steink;median_steink;gini_steink;mean_steinka;median_steinka;gini_steinka;mean_reink;median_reink;gini_reink;mean_reinka;median_reinka;gini_reinka;p1;p5;p10;p20;p25;p30;p40;p50;p60;p70;p75;p80;p90;p95;p96;p97;p98;p99;p99_5;p99_9;p99_99;stpf_100;stpf_200;stpf_300;stpf_400;stpf_500;stpf_600;stpf_700;stpf_800;stpf_900;stpf_1000;stpf_1100;stpf_1200;stpf_1300;stpf_1400;stpf_1500;stpf_1600;stpf_1700;stpf_1800;stpf_1900;stpf_2000;stpf_u2000
1973_1974;Total;2032655;1433.444;705;121;0.827;26067;18900;0.377;16316;11800;0.388;30736;23900;0.346;19019;14429;0.347;0;10400;11400;13400;14300;15200;17000;18900;21300;24500;26600;29400;40300;57000;64500;76100;96500;143100;209000;504000;1674100;64570;1043431;534577;182807;76050;38705;22084;14382;10179;7673;5756;4662;3637;2972;2516;1993;1719;1503;1318;1062;11059
1975_1976;Verheiratet;1619246;1761.029;1088;226;0.807;33762;25400;0.383;20285;14800;0.398;39873;31900;0.335;23802;18333;0.348;0;11200;13200;16800;18300;19700;22500;25400;28800;33000;35900;39500;53500;74500;83700;97900;122000;177300;256300;592500;1962000;;;;;;;;;;;;;;;;;;;;;
1975_1976;Unverheiratet;665705;172.192;259;112;0.654;20564;18500;0.254;14682;12867;0.27;21828;19700;0.247;15565;13800;0.263;0;10300;11300;13200;14100;15000;16700;18500;20300;22500;23800;25300;30500;36700;39100;42400;48100;60500;80300;172900;518600;;;;;;;;;;;;;;;;;;;;;
1975_1976;Total;2284951;1933.221;846;158;0.807;29917;22800;0.37;18652;14095;0.373;34616;27800;0.345;21402;16800;0.34;0;10800;12400;15200;16500;17800;20200;22800;25800;29600;32100;35300;47300;64400;71800;83200;103500;150500;218200;501200;1696500;61294;823812;729494;330480;138956;67521;37009;22267;14732;10534;8019;5992;4715;3800;3244;2630;2180;1900;1509;1397;13466
1977_1978;Verheiratet;1705998;1950.075;1143;301;0.773;35591;28000;0.373;21467;16222;0.386;41660;34400;0.33;24991;19778;0.34;0;11100;13200;17400;19400;21200;24500;28000;31800;36600;39600;43500;57900;77700;85900;98600;121100;172800;245400;535400;1764200;;;;;;;;;;;;;;;;;;;;;
1977_1978;Unverheiratet;711386;217.148;305;129;0.647;22165;20000;0.265;15763;13944;0.277;23560;21400;0.257;16737;14933;0.268;0;10300;11500;13700;14700;15800;17900;20000;22100;24700;26200;28000;34000;40800;43400;47100;52800;65000;82600;170400;476600;;;;;;;;;;;;;;;;;;;;;
1977_1978;Total;2417384;2167.223;897;223;0.777;31640;25000;0.364;19789;15400;0.365;36334;29900;0.34;22562;18133;0.334;0;10700;12400;15700;17300;18900;21900;25000;28400;32800;35600;39100;51600;68300;75200;85400;103700;147500;209900;458200;1475500;70902;737560;733251;418110;195412;95963;51799;30514;19005;12764;9011;6806;5332;4130;3429;2811;2253;1989;1577;1445;13321
1979_1980;Verheiratet;1764967;2172.055;1231;345;0.763;37207;29500;0.374;22622;17133;0.387;43299;35900;0.331;26208;20714;0.34;0;11200;13400;18000;20100;22100;25800;29500;33600;38700;41900;46000;61100;81700;90200;103200;125700;177500;247900;528000;1748400;;;;;;;;;;;;;;;;;;;;;
1979_1980;Unverheiratet;773848;248.558;321;135;0.64;22774;20600;0.266;16212;14400;0.278;24211;22000;0.257;17223;15400;0.269;0;10400;11700;14100;15200;16300;18500;20600;22800;25400;27000;28900;35000;42000;44700;48300;54200;66500;83900;171500;497400;;;;;;;;;;;;;;;;;;;;;
1979_1980;Total;2538815;2420.613;953;252;0.769;32807;25900;0.366;20668;16095;0.366;37481;30700;0.342;23469;18800;0.336;0;10800;12700;16200;17900;19500;22700;25900;29700;34300;37300;41000;54100;71500;78400;88900;107500;150900;212300;456300;1455400;75923;718706;745414;458942;229947;113742;62553;36452;22776;15037;10855;7977;6061;4783;3871;3174;2549;2206;1843;1647;14357
1981_1982;Verheiratet;1832143;2584.907;1411;414;0.751;39743;31700;0.38;24179;18381;0.391;45816;38100;0.34;27773;21952;0.347;0;11100;13500;18700;21200;23400;27500;31700;36200;41800;45300;49800;66100;88100;97500;111400;135100;188900;262000;557800;1794500;;;;;;;;;;;;;;;;;;;;;
1981_1982;Unverheiratet;830155;302.189;364;152;0.633;23944;21900;0.272;16972;15200;0.284;25420;23300;0.263;18007;16267;0.274;0;10300;11900;14700;15900;17200;19500;21900;24200;27000;28600;30600;37100;44400;47100;50900;57000;69800;87500;172700;501500;;;;;;;;;;;;;;;;;;;;;
1981_1982;Total;2662298;2887.096;1084;303;0.76;34817;27600;0.373;21932;17133;0.372;39456;32200;0.35;24728;19810;0.342;0;10700;12800;16700;18600;20500;24000;27600;31600;36800;40000;44000;58200;76800;84200;95600;115200;160600;223500;478100;1515000;90965;667415;734490;501836;277667;143223;79303;46745;29081;19258;13499;10001;7500;5820;4853;3798;3209;2634;2217;1948;16836
1983_1984;Verheiratet;1503608;2619.374;1742;490;0.746;44934;35300;0.379;27181;20476;0.397;54988;46000;0.323;33029;26292;0.336;0;12100;15800;22000;24400;26700;30900;35300;40300;46500;50400;55600;74500;100200;111000;126900;154000;215300;297800;640900;2252900;;;;;;;;;;;;;;;;;;;;;
1983_1984;Unverheiratet;1283470;691.852;539;155;0.745;27699;23700;0.319;19324;16333;0.327;29935;25900;0.304;20823;17800;0.31;0;11000;12300;15200;16600;18000;20800;23700;26800;30300;32500;35100;43900;55000;59300;65400;75900;100200;138400;314300;1089700;;;;;;;;;;;;;;;;;;;;;
1983_1984;Total;2787078;3311.226;1188;301;0.774;36997;29100;0.378;23563;18267;0.379;43451;35500;0.356;27408;21952;0.347;0;11300;13400;17600;19600;21500;25300;29100;33400;38800;42200;46500;61900;82200;90400;102600;123700;172500;241300;520800;1729600;86114;634655;732353;548797;314508;168634;95290;57510;36447;24100;16753;12383;9241;7090;5954;4718;3831;3205;2695;2296;20504
1985_1986;Verheiratet;1506814;2872.348;1906;535;0.745;48756;38300;0.381;29830;22389;0.401;59681;49900;0.323;36249;28800;0.338;0;12900;16900;23600;26300;28700;33500;38300;43800;50600;55000;60600;81100;108800;120300;137600;166700;232700;321400;699300;2532600;;;;;;;;;;;;;;;;;;;;;
1985_1986;Unverheiratet;1394244;808.152;580;159;0.751;29753;25200;0.321;20837;17400;0.33;32240;27700;0.305;22517;19133;0.312;0;11700;13100;16100;17600;19100;22100;25200;28600;32500;34900;37900;47600;59700;64300;71000;82200;108500;150000;333400;1147000;;;;;;;;;;;;;;;;;;;;;
1985_1986;Total;2901058;3680.5;1269;315;0.777;39623;31000;0.38;25508;19667;0.382;46493;37800;0.358;29650;23667;0.35;0;12000;14200;18600;20700;22800;26800;31000;35700;41600;45400;50100;66800;88500;97100;110000;132300;184100;257000;555000;1923300;82570;589560;705891;578019;359870;206741;119505;72960;46563;30860;21377;15229;11604;8759;7072;5704;4439;3884;3244;2758;24449
1989_1990;Verheiratet;1470901;3194.765;2172;589;0.762;59827;47400;0.36;36997;28333;0.384;67482;55800;0.331;41167;32533;0.346;0;21100;25200;31600;34400;37000;42100;47400;53300;60900;65800;72100;95600;129100;143300;164200;199500;280000;391100;872700;3098400;;;;;;;;;;;;;;;;;;;;;
1989_1990;Unverheiratet;1637008;1173.675;717;206;0.756;33916;28800;0.322;23808;19867;0.334;35477;30300;0.313;24814;20857;0.322;0;13100;14800;18500;20200;22000;25400;28800;32400;36500;39100;42400;53200;66900;72300;80000;93500;126200;177600;409600;1518300;;;;;;;;;;;;;;;;;;;;;
1989_1990;Total;3107909;4368.44;1406;341;0.786;46179;36200;0.376;30050;23208;0.38;50624;40500;0.37;32554;25733;0.362;0;13500;16800;22600;25000;27200;31600;36200;41600;48300;52500;57900;76500;101100;111300;126400;152900;214000;302000;672800;2375600;92662;357933;673483;652038;462851;297740;181964;111575;70677;46849;31943;23202;17032;12837;10134;8325;6715;5554;4690;3942;35763
1991_1992;Verheiratet;1515604;3689.33;2434;674;0.759;65599;51900;0.36;40576;31067;0.385;73934;61100;0.331;45098;35600;0.347;0;22800;27500;34600;37600;40400;46100;51900;58500;66800;72100;79100;104500;140600;155600;178100;215800;301500;420500;970300;3670800;;;;;;;;;;;;;;;;;;;;;
1991_1992;Unverheiratet;1707107;1409.244;826;245;0.756;37296;31600;0.326;26092;21733;0.337;38961;33300;0.317;27164;22800;0.324;0;13800;15800;20000;22100;24100;27900;31600;35600;40100;43000;46600;58600;73600;79600;88100;102900;139000;196100;457100;1743300;;;;;;;;;;;;;;;;;;;;;
1991_1992;Total;3222711;5098.574;1582;391;0.783;50606;39700;0.378;32904;25400;0.381;55409;44200;0.371;35598;28067;0.364;0;14400;18200;24700;27300;29800;34700;39700;45500;52900;57600;63400;83700;110500;121200;137800;166000;232000;326700;743300;2657400;90115;300712;584000;653041;509261;350164;228036;145107;93881;62207;43140;30444;22440;16732;12921;10668;8473;6779;5863;4857;43870
1993_1994;Verheiratet;1525988;3950.073;2589;771;0.746;71923;58000;0.352;44653;34667;0.378;81044;68000;0.323;49614;39667;0.341;0;25000;30300;38400;41800;45000;51400;58000;65300;74500;80500;88000;115000;151700;167100;189500;227700;315200;437800;989400;3620000;;;;;;;;;;;;;;;;;;;;;
1993_1994;Unverheiratet;1742560;1601.079;919;287;0.746;41656;35600;0.326;29074;24444;0.336;43486;37400;0.316;30248;25600;0.323;0;15100;17400;22300;24700;26900;31300;35600;40100;45400;48700;52600;66200;83200;89700;99200;115100;153000;212800;486200;1800000;;;;;;;;;;;;;;;;;;;;;
1993_1994;Total;3268548;5551.152;1698;450;0.77;55786;44400;0.371;36347;28400;0.376;61021;49400;0.364;39290;31333;0.359;0;15700;20100;27500;30400;33300;38800;44400;51000;59200;64400;70900;93100;121300;132600;149300;177900;245000;341600;759200;2744500;94569;223827;470292;588448;535841;398432;281006;190397;127591;86777;60701;42415;30838;22904;17520;13632;10661;8846;7231;6017;50603
1995_1996;Verheiratet;1543505;4215.675;2731;843;0.738;73781;59700;0.349;46320;36056;0.376;83217;70000;0.318;51537;41286;0.337;300;24800;31000;39600;43100;46500;53000;59700;67200;76700;82700;90400;117900;155300;170700;194400;233900;323400;447300;1000000;3748500;;;;;;;;;;;;;;;;;;;;;
1995_1996;Unverheiratet;1849463;1748.11;945;305;0.739;42672;36600;0.325;30005;25200;0.336;44426;38500;0.315;31172;26400;0.323;0;14800;17900;23100;25400;27700;32200;36600;41300;46900;50200;54400;68000;84800;91200;100400;116000;153300;212500;480200;1798200;;;;;;;;;;;;;;;;;;;;;
1995_1996;Total;3392968;5963.785;1758;483;0.764;56824;45600;0.369;37427;29333;0.375;62072;50600;0.362;40436;32333;0.357;0;15800;20700;28000;31100;34000;39700;45600;52200;60600;65800;72400;94800;122900;134200;150900;180000;248800;345500;756200;2801800;97838;210576;474481;588728;552504;427667;303027;207457;140173;95504;66685;46913;34268;24729;18900;14785;11487;9314;7612;6377;53943
